month,date,hour,output
1,1,1,-0.0017440
1,1,2,-0.0017440
1,1,3,-0.0017440
1,1,4,-0.0017440
1,1,5,-0.0017440
1,1,6,-0.0017440
1,1,7,-0.0017440
1,1,8,-0.0017440
1,1,9,0.0044160
1,1,10,0.0216000
1,1,11,0.0573280
1,1,12,0.2685760
1,1,13,0.2105920
1,1,14,0.3247680
1,1,15,0.2828320
1,1,16,0.3125120
1,1,17,0.1216720
1,1,18,0.0095200
1,1,19,-0.0017440
1,1,20,-0.0017440
1,1,21,-0.0017440
1,1,22,-0.0017440
1,1,23,-0.0017440
1,1,24,-0.0017440
1,2,1,-0.0017440
1,2,2,-0.0017440
1,2,3,-0.0017440
1,2,4,-0.0017440
1,2,5,-0.0017440
1,2,6,-0.0017440
1,2,7,-0.0017440
1,2,8,-0.0017440
1,2,9,0.1217680
1,2,10,0.4696320
1,2,11,0.6728960
1,2,12,0.2923280
1,2,13,0.5389760
1,2,14,0.4065040
1,2,15,0.8383200
1,2,16,0.4858560
1,2,17,0.1906640
1,2,18,-0.0017440
1,2,19,-0.0017440
1,2,20,-0.0017440
1,2,21,-0.0017440
1,2,22,-0.0017440
1,2,23,-0.0017440
1,2,24,-0.0017440
1,3,1,-0.0017440
1,3,2,-0.0017440
1,3,3,-0.0017440
1,3,4,-0.0017440
1,3,5,-0.0017440
1,3,6,-0.0017440
1,3,7,-0.0017440
1,3,8,-0.0017440
1,3,9,0.2018160
1,3,10,0.6043440
1,3,11,0.8733600
1,3,12,1.0332000
1,3,13,1.0990400
1,3,14,1.0800800
1,3,15,0.9816800
1,3,16,0.7930720
1,3,17,0.4577200
1,3,18,0.0170480
1,3,19,-0.0017440
1,3,20,-0.0017440
1,3,21,-0.0017440
1,3,22,-0.0017440
1,3,23,-0.0017440
1,3,24,-0.0017440
1,4,1,-0.0017440
1,4,2,-0.0017440
1,4,3,-0.0017440
1,4,4,-0.0017440
1,4,5,-0.0017440
1,4,6,-0.0017440
1,4,7,-0.0017440
1,4,8,-0.0017440
1,4,9,0.1809440
1,4,10,0.5351120
1,4,11,0.7776400
1,4,12,0.9188000
1,4,13,0.9828800
1,4,14,0.9724000
1,4,15,0.8856000
1,4,16,0.7253440
1,4,17,0.4274560
1,4,18,0.0207280
1,4,19,-0.0017440
1,4,20,-0.0017440
1,4,21,-0.0017440
1,4,22,-0.0017440
1,4,23,-0.0017440
1,4,24,-0.0017440
1,5,1,-0.0017440
1,5,2,-0.0017440
1,5,3,-0.0017440
1,5,4,-0.0017440
1,5,5,-0.0017440
1,5,6,-0.0017440
1,5,7,-0.0017440
1,5,8,-0.0017440
1,5,9,0.1418720
1,5,10,0.4322240
1,5,11,0.6392560
1,5,12,0.8190400
1,5,13,0.8433600
1,5,14,0.8384000
1,5,15,0.7686800
1,5,16,0.6280240
1,5,17,0.3986320
1,5,18,0.0232240
1,5,19,-0.0017440
1,5,20,-0.0017440
1,5,21,-0.0017440
1,5,22,-0.0017440
1,5,23,-0.0017440
1,5,24,-0.0017440
1,6,1,-0.0017440
1,6,2,-0.0017440
1,6,3,-0.0017440
1,6,4,-0.0017440
1,6,5,-0.0017440
